College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,OC,BC,BCM,MBC,SC,SCA,ST
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EI,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,EM,57,17.67,15.105,1.995,11.4,8.55,1.71,0.57
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,IM,116,35.96,30.74,4.06,23.2,17.4,3.48,1.16
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,PR,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RA,28,8.68,7.42,0.98,5.6,4.2,0.84,0.28
4,AU DEPT,Non Autonomous,Co.Ed,CHENGALPET,University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,RP,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
4 Total,,,,,,,723,224.13,191.595,25.305,144.6,108.45,21.69,7.23
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,IT,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,ME,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1013,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Villupuram  Kakuppam  Villupuram District 605103,XM,29,8.99,7.685,1.015,5.8,4.35,0.87,0.29
1013 Total,,,,,,,265,82.15,70.225,9.275,53,39.75,7.95,2.65
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,CE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,IT,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1014,AU UNIV,Non Autonomous,Co.Ed,VILUPPURAM,University College of Engineering  Tindivanam  Melpakkam  Tindivanam  Villupuram District 604001,XC,29,8.99,7.685,1.015,5.8,4.35,0.87,0.29
1014 Total,,,,,,,265,82.15,70.225,9.275,53,39.75,7.95,2.65
