College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EC,59
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EE,59
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,ME,58
3465 Total,,,,,,,294
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CE,59
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CS,58
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EC,118
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EE,59
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,ME,118
4974 Total,,,,,,,412
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CE,59
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CS,59
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,EC,59
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,EE,58
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,ME,59
5009 Total,,,,,,,294
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,CE,58
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,CS,59
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,EC,59
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,EE,118
5901,GOVT,Autonomous,Co.Ed,SIVAGANGAI,Alagappa Chettair Government College of Engineering and Technology (Autonomous)  Karaikudi  Sivagangai District 630004,ME,118
5901 Total,,,,,,,412
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,CE,29
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,EC,59
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,EE,59
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,ME,59
2006,GA,Autonomous,Co.Ed,COIMBATORE,PSG College of Technology (Autonomous)  Peelamedu  Coimbatore District 641004,MT,30
