College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,Processed
2005 Total,,,,,,,705,2005 Total2005 Total
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CE,59,23692369
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CS,59,23692369
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EC,59,23692369
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EE,59,23692369
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,ME,58,23692369
2369 Total,,,,,,,294,2369 Total2369 Total
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,CS,59,26032603
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EC,58,26032603
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EE,59,26032603
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,ME,59,26032603
2603 Total,,,,,,,235,2603 Total2603 Total
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CE,117,26152615
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CS,59,26152615
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EC,59,26152615
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EE,58,26152615
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,ME,118,26152615
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,MT,59,26152615
2615 Total,,,,,,,470,2615 Total2615 Total
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,AU,39,27092709
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CE,38,27092709
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CS,38,27092709
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EC,38,27092709
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EE,38,27092709
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,IT,38,27092709
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,ME,38,27092709
2709 Total,,,,,,,267,2709 Total2709 Total
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CE,59,34643464
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CS,59,34643464
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EC,58,34643464
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EE,59,34643464
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,ME,59,34643464
3464 Total,,,,,,,294,3464 Total3464 Total
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CE,59,34653465
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CS,59,34653465
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EC,59,34653465
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EE,59,34653465
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,ME,58,34653465
3465 Total,,,,,,,294,3465 Total3465 Total
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CE,59,49744974
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CS,58,49744974
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EC,118,49744974
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EE,59,49744974
