college code,category,autonomous status,co.ed status,district,college name,course,total,oc,bc,bcm,mbc,sc,sca,st,general,7.5% reservation,OC,OC_7.5,BC,BC_7.5,BCM,BCM_7.5,MBC,MBC_7.5,SC,SC_7.5,SCA,SCA_7.5,ST,ST_7.5,Rounded_OC,Rounded_OC_7.5,Rounded_BC,Rounded_BC_7.5,Rounded_BCM,Rounded_BCM_7.5
2005 Total,,,,,,,705.0000,218.5500,186.8250,24.6750,141.0000,105.7500,21.1500,7.0500,652.1250,52.8750,202.1587,16.3912,172.8131,14.0119,22.8244,1.8506,130.4250,10.5750,97.8187,7.9312,19.5637,1.5862,6.5213,0.5288,202,16,173,14,23,2
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CS,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EC,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,ME,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
2369 Total,,,,,,,294.0000,91.1400,77.9100,10.2900,58.8000,44.1000,8.8200,2.9400,271.9500,22.0500,84.3045,6.8355,72.0667,5.8433,9.5183,0.7718,54.3900,4.4100,40.7925,3.3075,8.1585,0.6615,2.7195,0.2205,84,7,72,6,9,1
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,CS,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EC,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,ME,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2603 Total,,,,,,,235.0000,72.8500,62.2750,8.2250,47.0000,35.2500,7.0500,2.3500,217.3750,17.6250,67.3863,5.4638,57.6044,4.6706,7.6081,0.6169,43.4750,3.5250,32.6062,2.6437,6.5212,0.5287,2.1738,0.1762,67,5,58,5,8,1
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CE,117.0000,36.2700,31.0050,4.0950,23.4000,17.5500,3.5100,1.1700,108.2250,8.7750,33.5498,2.7203,28.6796,2.3254,3.7879,0.3071,21.6450,1.7550,16.2338,1.3162,3.2468,0.2632,1.0823,0.0878,34,3,29,2,4,1
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CS,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EC,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
