college code,category,autonomous status,co.ed status,district,college name,course,total,oc,bc,bcm,mbc,sc,sca,st,general,7.5% reservation
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,ME,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,MT,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2615 Total,,,,,,,470.0,145.7,124.55,16.45,94.0,70.5,14.1,4.7,434.75,35.25
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,AU,39.0,12.09,10.335,1.365,7.8,5.85,1.17,0.39,36.075,2.925
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CE,38.0,11.78,10.07,1.33,7.6,5.7,1.14,0.38,35.15,2.85
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CS,38.0,11.78,10.07,1.33,7.6,5.7,1.14,0.38,35.15,2.85
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EC,38.0,11.78,10.07,1.33,7.6,5.7,1.14,0.38,35.15,2.85
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EE,38.0,11.78,10.07,1.33,7.6,5.7,1.14,0.38,35.15,2.85
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,IT,38.0,11.78,10.07,1.33,7.6,5.7,1.14,0.38,35.15,2.85
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,ME,38.0,11.78,10.07,1.33,7.6,5.7,1.14,0.38,35.15,2.85
2709 Total,,,,,,,267.0,82.77,70.755,9.345,53.4,40.05,8.01,2.67,246.97500000000002,20.025
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CS,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EC,58.0,17.98,15.37,2.03,11.6,8.7,1.74,0.58,53.650000000000006,4.35
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,ME,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3464 Total,,,,,,,294.0,91.14,77.91,10.29,58.8,44.1,8.82,2.94,271.95,22.05
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CS,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EC,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,ME,58.0,17.98,15.37,2.03,11.6,8.7,1.74,0.58,53.650000000000006,4.35
3465 Total,,,,,,,294.0,91.14,77.91,10.29,58.8,44.1,8.82,2.94,271.95,22.05
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CS,58.0,17.98,15.37,2.03,11.6,8.7,1.74,0.58,53.650000000000006,4.35
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EC,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,ME,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
4974 Total,,,,,,,412.0,127.72,109.18,14.42,82.4,61.8,12.36,4.12,381.1,30.9
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
